product_id,review_rating,reviewer_name,review_title,review_text,review_date,verified_buyer,helpful_votes
2,5,smit dadhania,one of the best blue fragrance,decent all year round fresh fragrance with avenger longevity 5/6 hours and good projection. people w...,"13 Feb, 2025",True,0
2,5,ohwopw_6909,My favorite in the Luna Rossa line!,This is a unique take on the blue dna has an aromatic blue feel but it’s also sweet musky and powder...,"12 Jul, 2025",False,0
2,5,raghavir1_9450,Must have,"My husband has this and it smells absolutely royal, aromatic,slightly musky, lavender notes . Love h...","7 Jul, 2025",False,0
2,4,miltons5_380,Modern fresh,"Prada Luna Rossa Ocean is a smooth, modern take on the fresh aquatic scent, with just enough depth t...","4 Jul, 2025",False,0
2,5,michaelb540_2990,Fresh,Clean fresh scent that settles to a masculine skin fragrance. Great fragrance if you like fresh out ...,"3 Jul, 2025",False,0
2,5,sheharyarh_4344,Fresh scent must have in collection,Very fresh scent and I love to use it during the summer time. I wish the longevity was longer but it...,"12 Jul, 2025",False,0
2,4,tommyp17_6749,Great versatile fragrance for the price,Very good price on discounters. Projection is pretty good and is super versatile smelling like a cle...,"10 Jul, 2025",False,0
2,5,bryans94_5634,But it smells really good. Has a low price and is,It’s my first ever cologne that I ever tried and I really like it. It smells really good. It’s made ...,"5 Jul, 2025",False,0
2,5,whereiswoods_9556,"Clean, Confident, and Modern Masculinity in a Bott",Prada Luna Rossa Ocean is an absolute gem for guys who want to smell effortlessly fresh and sophisti...,"4 Jul, 2025",False,0
2,5,raphxo_553,Wonderful Sweet Summer fragrance,"I usually am not a fan of most summer fragrances as they’re way too citrus heavy, but this one i don...","3 Jul, 2025",False,0
3,5,Samhitha Kottamasu,SO underrated,This palette seems kind of small and overpriced but it's definitely not. The pan of the shadow is very...,"31 Dec, 2023",False,0
4,5,Neha Adiga,Smells delicious,Love how it makes my skin feel and smell.,"14 May, 2025",True,0
4,2,Rutuja Ashtekar,Okayish,Not as shown in the picture. Smells okay,"10 Aug, 2024",True,4
6,1,SueLo,Rubbish,Doesn’t do what it claims. Save your money. I’d like a refund it’s so bad.,"21 Apr, 2024",False,1
6,2,Elizabeth K.,Drying,So I am disappointed with this stick as it's drying on the skin. It's unfortunate because I was hopi...,"22 Jun, 2023",False,0
6,5,Lisamarie M.,Color corrector,Ok the yellow one didn't work for what I wanted it for but the green is great 👍,"16 Apr, 2023",False,0
6,4,lillie d.,Covers what it needs to!,This covers what it needs to cover etc. The formula can be quite thick and intense when used directl...,"1 Feb, 2023",False,0
6,5,Nancy C.,Amazing,"Amazing product, blends sooo well and lasts all day","22 Feb, 2024",False,0
6,5,Natalie- J.,Really good,First time using correcting sticks and they seemed to help my under eyes and reduce some redness. ea...,"21 May, 2023",False,0
6,3,Kerrie w.,Colour correcting stick,"It’s not as good as I expected, it’s a bit dry and hard to blend in","2 Feb, 2023",False,0
7,3,Batul Chhatariya,It good,But after few use the stick has been detached from base and now everytime I use sunscreen stick I'm ...,"14 Feb, 2025",True,3
7,5,Harpreet Kaur,Best sunscreen stick for Oily Skin!,totally worth the price! My face sweats a lot and honestly this sunscreen stick is very calm on my s...,"7 Sep, 2024",True,6
7,5,savita kusalkar,Best unstuck,I think this is the best unstuck for oily skin women. It goes on smooth and is absolutely matte!,"28 Jun, 2025",True,1
7,5,Pooja Dhiman,Best sunscreen ever,I have oily skin but this sunscreen is magic,"17 Apr, 2025",True,0
7,1,Azka Sheikh,pathetic service,"i got the parcel empty and they are not even prioritising my problem, i have been waiting for last 2...","26 Aug, 2024",True,16
8,5,tooth fairy,wonderful,"It's been a while since i used a montblanc product, and I am still pleased that it manages to retain...","13 Oct, 2023",False,0
8,5,CJM2,Great Scent,"This smells really great. I love the clean, fresh, musk. It's great for any time of year. Would be g...","15 Sep, 2023",False,0
8,5,blurryface,Wow!,"So so sexy! Delicious, refreshing, elegant and unique. Very inexpensive and you don't need much. 2 s...","12 Sep, 2023",False,0
8,4,Hesitantalien22,Great everyday cologne,"Overall I think this is a really good scent. It is a fresh/clean smell that isn’t too overpowering, ...","29 Aug, 2023",False,0
8,5,Leelee0605,Great product!,I highly recommend you don’t walk but run to buy this cologne! It smells so good! The fragrance last...,"25 Aug, 2023",False,0
8,5,adam812,Fresh scent!,This is a great every day cologne. I really like that it’s a noticeably fresh scent but not overbear...,"16 Sep, 2023",False,0
8,4,Jackiejj,Manly,I like Montblanc fragrances so I was excited for my husband to try Montblanc explorer. The scent is ...,"15 Sep, 2023",False,0
8,5,Mytmouse33,Pleasant,Oh my!  This smells so good on my husband. I didn’t think I would like this scent as much as I do. A...,"29 Aug, 2023",False,0
8,5,Artyy,"A Journey of Citrus, Spice, and Adventure",Montblanc Explorer's spray encapsulates the spirit of exploration in a bottle. The initial burst of ...,"25 Aug, 2023",False,0
8,5,NanP,Wonderful scent!,The Montblanc Explorer cologne is a delightful scent that has nice staying power to keep you smellin...,"24 Aug, 2023",False,0
18,1,Vidya P,Worst,Too much of adhesive used. Painful to remove.,"17 Nov, 2024",True,0
20,5,Vinayak Telkar,Amazing Fragnance,"Long lasting, feels very fresh after spraying this perfume","22 May, 2025",True,0
20,5,Ari C,Not available,Nice packaging .. very lasting fresh fragrance,"8 Feb, 2024",False,0
21,2,Prerna Singh,Breaks easily & wears off easy,"Though it has a creamy texture, it breaks very easily. It's not smudge proof and wears off really quic...","13 Aug, 2024",True,2
21,5,Varchasvini Malhotra,worth the money ,Quality is good,"3 Dec, 2023",True,0
21,5,Kajal Jagtap,Amazing 😍,"100% worth buying this product…
It’s very creamy, pigmented and has beautiful colours..
I luv it..

Hi...","12 Jan, 2024",True,2
21,4,Sriramya Eleswarapu,absolutely Gorgeous ,I love this set that arrived today!!!! It’s so creamy and so good! It has the potential to compete wit...,"2 Dec, 2023",True,2
22,5,Mary F,Believe the great reviews!,"I'll be 70 years old this year & only recently started having ""problems"" with my skin. I used Deep R...","4 Jan, 2025",False,0
22,5,Bri,Amazing!,Insane lol look at my picture and you'll see how well it worked.,"26 Nov, 2024",False,0
22,5,Danielle,Love this mask!,Makes your face feels so clean and pores looked smaller and cleaner! It is amazing to see the oil th...,"30 Jun, 2024",False,1
22,5,Emma,Absolutely amazing,"I have the worst stuffed pores on my nose that are horrible and black, but this mask completely remo...","14 Jan, 2024",False,0
22,5,krxsha,So good!,"I have combo skin and using this mask, especially around my t-zone, really helped clear out my pores...","8 Aug, 2023",False,0
22,5,ShanLee,Does exactly what it says it does!,I always and only use the Deep Retreat and the Speedy smooth face masks I am addicted to these Pore-...,"26 Dec, 2024",False,1
22,5,reese,"great product, worth the buy!!",with the other products and this my face feels so cleanse and tight and refreshed. my face gets grea...,"20 Jul, 2024",False,1
22,5,Louise,This feel so lovely,This is one of the best face masks ever and I love the colour ongggg. Feels cooling to me too. Reall...,"1 Feb, 2024",False,0
22,1,Mel,Entire line is a scam,"I am so disappointed in this product and entire line. It does absolutely nothing for you skin, it ho...","28 Sep, 2023",False,2
22,5,Medi,Good stuff!,"Gets the gunk out and leaves my face feeling clean, not stripping. It's packaged well and is travel ...","3 Aug, 2023",False,0
24,4,Nidhi Jain,The product works well on frizzy and dry hair,"The product is really expensive, but if I dont use a conditioner and emulsify properly, it works rea...","24 Feb, 2025",True,21
24,5,Sharmin Qureshi,don't use conditioner before using this. you won't need it,I like the fact that Tira now has a 15ml variant of this . love this product. it has minimised my sp...,"9 Sep, 2024",True,8
24,5,Karan Suresh,Great product,Hair feels shinier after using thus product !,"31 May, 2025",True,0
24,5,Natasha Bhan,Fantastic!,I'm 1 who generally doesn't buy a product without reading the reviews.. and this one just had only +...,"16 Feb, 2025",True,27
24,3,harmi patel,improve your packing please,bottle was broken inside,"23 Sep, 2024",True,1
25,4,Adrija Mitra,Light perfume for summer days,"I liked the light and floral smell. It doesn't stay much longer on me, but a faint aroma lingers.","24 Apr, 2025",True,1
